timestamp,production_ton,kiln_status,shift_type
2023-01-01,177.2749152197968,Çalışıyor,Bakım
2023-01-02,109.36643683822226,Çalışıyor,3 Vardiya
2023-01-03,95.49452177167453,Çalışıyor,3 Vardiya
2023-01-04,169.65539280456042,Çalışıyor,3 Vardiya
2023-01-05,112.1092822513921,Çalışıyor,3 Vardiya
2023-01-06,139.61877454584592,Çalışıyor,3 Vardiya
2023-01-07,130.62527102619916,Çalışıyor,2 Vardiya
2023-01-08,91.67240789773403,Çalışıyor,Bakım
2023-01-09,101.16294250304617,Çalışıyor,3 Vardiya
2023-01-10,130.24095763647892,Çalışıyor,3 Vardiya
2023-01-11,171.774439860512,Çalışıyor,3 Vardiya
2023-01-12,74.47337877382432,Çalışıyor,3 Vardiya
2023-01-13,118.21312041881404,Çalışıyor,3 Vardiya
2023-01-14,67.9776382528052,Çalışıyor,2 Vardiya
2023-01-15,173.47597784308826,Çalışıyor,Bakım
2023-01-16,153.62915763404885,Çalışıyor,3 Vardiya
2023-01-17,39.739036065041674,Çalışıyor,3 Vardiya
2023-01-18,132.07563163344904,Çalışıyor,3 Vardiya
2023-01-19,47.71586784624067,Çalışıyor,3 Vardiya
2023-01-20,184.81678572073616,Çalışıyor,3 Vardiya
2023-01-21,147.523859051676,Çalışıyor,2 Vardiya
2023-01-22,144.94566496984936,Çalışıyor,Bakım
2023-01-23,39.74220916258808,Çalışıyor,3 Vardiya
2023-01-24,162.5313590997948,Çalışıyor,3 Vardiya
2023-01-25,82.58232494563542,Çalışıyor,3 Vardiya
2023-01-26,219.48634783115435,Çalışıyor,3 Vardiya
2023-01-27,181.80684797043352,Çalışıyor,3 Vardiya
2023-01-28,93.58291887753921,Çalışıyor,2 Vardiya
2023-01-29,160.65541032529038,Çalışıyor,Bakım
2023-01-30,135.8403895810096,Çalışıyor,3 Vardiya
2023-01-31,62.73161805036398,Çalışıyor,3 Vardiya
2023-02-01,75.95690232829139,Çalışıyor,3 Vardiya
2023-02-02,138.02737776414125,Çalışıyor,3 Vardiya
2023-02-03,93.17733799709421,Çalışıyor,3 Vardiya
2023-02-04,150.13744684156637,Çalışıyor,2 Vardiya
2023-02-05,126.14885754389607,Çalışıyor,Bakım
2023-02-06,91.4965456102578,Çalışıyor,3 Vardiya
2023-02-07,100.60500996903019,Çalışıyor,3 Vardiya
2023-02-08,104.74282154696523,Çalışıyor,3 Vardiya
2023-02-09,119.0928646373718,Çalışıyor,3 Vardiya
2023-02-10,133.7737997081172,Çalışıyor,3 Vardiya
2023-02-11,173.74423127109165,Çalışıyor,2 Vardiya
2023-02-12,124.25806079145093,Çalışıyor,Bakım
2023-02-13,149.7526490846842,Çalışıyor,3 Vardiya
2023-02-14,37.06263843794724,Çalışıyor,3 Vardiya
2023-02-15,38.53632330913288,Çalışıyor,3 Vardiya
2023-02-16,70.81373812207076,Çalışıyor,3 Vardiya
2023-02-17,79.19561431759311,Çalışıyor,3 Vardiya
2023-02-18,144.68975278289443,Çalışıyor,2 Vardiya
2023-02-19,161.9333260801347,Çalışıyor,Bakım
2023-02-20,168.4319851032046,Çalışıyor,3 Vardiya
2023-02-21,96.99129513893598,Çalışıyor,3 Vardiya
2023-02-22,104.19624481037569,Çalışıyor,3 Vardiya
2023-02-23,62.40787639629504,Çalışıyor,3 Vardiya
2023-02-24,148.2176007157651,Çalışıyor,3 Vardiya
2023-02-25,117.2916536082053,Çalışıyor,2 Vardiya
